101 1
101 2
101 3
101 4
101 77
101 9
101 10
101 11
101 12
101 13
101 14
101 76	
102	15
102	16
102	17
102	18
102	19
102	20
103	5
103	6
103	7
103	21
103	22
104	23
104	24
104	25
104	26
104	27
104	28
104	29
104	30
104	31
105	8
105	32
105	33
106	34
106	35
106	36
106	37
106	38
106	39
106	40
106	41
106	42
106	43
106	60
106	69
107	56
107	57
107	58
107	59
107	61
107	62
107	63
107	64
107	65
107	66
107	67
107	68
108	70
108	71
108	72
108	73
108	74
108	75
109	44
109	45
109	46
109	47
109	48
109	49
109	50
109	51
109	52
109	53
109	54
109	55
